Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,increase
B44,EMM_F49,Microbotryomycetes,1,4,47.75,8.01,0.39
B44,EMM_F49,Microbotryomycetes,1,4,54.73,7.21,0.48
B44,EMM_F49,Microbotryomycetes,2,4,0,7.52,0.21
B44,EMM_F49,Microbotryomycetes,2,4,11.38,7.64,0.04
B44,EMM_F49,Microbotryomycetes,2,4,17.4,8.05,0.44
B44,EMM_F49,Microbotryomycetes,2,4,24.86,8.06,0.45
B44,EMM_F49,Microbotryomycetes,2,4,31.78,8.32,0.58
B44,EMM_F49,Microbotryomycetes,2,4,40.63,8.58,0.73
B44,EMM_F49,Microbotryomycetes,2,4,47.75,8.04,0.27
B44,EMM_F49,Microbotryomycetes,2,4,54.73,8.32,0.54
B44,EMM_F49,Microbotryomycetes,3,4,0,8.09,0.31
B44,EMM_F49,Microbotryomycetes,3,4,11.38,8.41,0.39
B44,EMM_F49,Microbotryomycetes,3,4,17.4,8.41,0.39
B44,EMM_F49,Microbotryomycetes,3,4,24.86,7.56,0.36
B44,EMM_F49,Microbotryomycetes,3,4,31.78,8.46,0.39
B44,EMM_F49,Microbotryomycetes,3,4,40.63,8.13,0.02
B44,EMM_F49,Microbotryomycetes,3,4,47.75,8.09,0.24
B44,EMM_F49,Microbotryomycetes,3,4,54.73,8.37,0.3
B44,ZAN_F4,Microbotryomycetes,1,4,0,7.9,0.19
B44,ZAN_F4,Microbotryomycetes,1,4,11.38,8.13,0.41
B44,ZAN_F4,Microbotryomycetes,1,4,17.4,8.81,0.29
B44,ZAN_F4,Microbotryomycetes,1,4,24.86,8.56,0.65
B44,ZAN_F4,Microbotryomycetes,1,4,31.78,8.94,0.43
B44,ZAN_F4,Microbotryomycetes,1,4,40.63,8.16,0.71
B44,ZAN_F4,Microbotryomycetes,1,4,47.75,9.24,0.78
B44,ZAN_F4,Microbotryomycetes,1,4,54.73,8.94,0.48
B44,ZAN_F4,Microbotryomycetes,2,4,0,7.72,0.87
B44,ZAN_F4,Microbotryomycetes,2,4,11.38,7.72,0.4
B44,ZAN_F4,Microbotryomycetes,2,4,17.4,7.9,0.36
B44,ZAN_F4,Microbotryomycetes,2,4,24.86,8.3,0.08
B44,ZAN_F4,Microbotryomycetes,2,4,31.78,8.32,0.57
B44,ZAN_F4,Microbotryomycetes,2,4,40.63,8.32,0.57
B44,ZAN_F4,Microbotryomycetes,2,4,47.75,8.32,0.57
B44,ZAN_F4,Microbotryomycetes,2,4,54.73,8.4,0.28
B44,ZAN_F4,Microbotryomycetes,3,4,0,7.66,0.15
B44,ZAN_F4,Microbotryomycetes,3,4,11.38,8.13,0.26
B44,ZAN_F4,Microbotryomycetes,3,4,17.4,8.14,0.27
B44,ZAN_F4,Microbotryomycetes,3,4,24.86,8,0.38
B44,ZAN_F4,Microbotryomycetes,3,4,31.78,8,0.38
B44,ZAN_F4,Microbotryomycetes,3,4,40.63,8.1,0.47
B44,ZAN_F4,Microbotryomycetes,3,4,47.75,8.1,0.22
B44,ZAN_F4,Microbotryomycetes,3,4,54.73,8.34,0.46
B44,EMM_F65,Microbotryomycetes,1,4,0,8.24,0.37
B44,EMM_F65,Microbotryomycetes,1,4,11.38,7.97,0.1
B44,EMM_F65,Microbotryomycetes,1,4,17.4,7.91,0.11
B44,EMM_F65,Microbotryomycetes,1,4,24.86,8.04,0.23
B44,EMM_F65,Microbotryomycetes,1,4,31.78,8.07,0.26
B44,EMM_F65,Microbotryomycetes,1,4,40.63,8.08,0.37
B44,EMM_F65,Microbotryomycetes,1,4,47.75,8.04,0.17
B44,EMM_F65,Microbotryomycetes,1,4,54.73,8.41,0.54
B44,EMM_F65,Microbotryomycetes,2,4,0,8.11,1.16
B44,EMM_F65,Microbotryomycetes,2,4,11.38,7.73,0.4
B44,EMM_F65,Microbotryomycetes,2,4,17.4,7.75,0.42
B44,EMM_F65,Microbotryomycetes,2,4,24.86,7.75,0.42
B44,EMM_F65,Microbotryomycetes,2,4,31.78,7.75,0.03
B44,EMM_F65,Microbotryomycetes,2,4,40.63,7.95,0.22
B44,EMM_F65,Microbotryomycetes,2,4,47.75,7.99,0.26
B44,EMM_F65,Microbotryomycetes,2,4,54.73,8.23,0.34
B44,EMM_F65,Microbotryomycetes,3,4,0,7.81,-0.07
B44,EMM_F65,Microbotryomycetes,3,4,11.38,7.32,0.06
B44,EMM_F65,Microbotryomycetes,3,4,17.4,8.2,0.77
B44,EMM_F65,Microbotryomycetes,3,4,24.86,7.58,0.44
B44,EMM_F65,Microbotryomycetes,3,4,31.78,7.58,0.09
B44,EMM_F65,Microbotryomycetes,3,4,40.63,7.98,0.49
B44,EMM_F65,Microbotryomycetes,3,4,47.75,8.2,0.5
B44,EMM_F65,Microbotryomycetes,3,4,54.73,7.81,0.61
B44,EMM_F66,Cystobasidiomycetes,1,4,0,7.99,0.14
B44,EMM_F66,Cystobasidiomycetes,1,4,11.38,7.57,0.13
B44,EMM_F66,Cystobasidiomycetes,1,4,17.4,7.57,0.3
B44,EMM_F66,Cystobasidiomycetes,1,4,24.86,7.85,0.58
B44,EMM_F66,Cystobasidiomycetes,1,4,31.78,8.44,0.12
B44,EMM_F66,Cystobasidiomycetes,1,4,40.63,8.67,0.3
B44,EMM_F66,Cystobasidiomycetes,1,4,47.75,8.2,0.3
B44,EMM_F66,Cystobasidiomycetes,1,4,54.73,8.54,0.42
B44,EMM_F66,Cystobasidiomycetes,2,4,0,7.84,0.51
B44,EMM_F66,Cystobasidiomycetes,2,4,11.38,7.43,0.06
B44,EMM_F66,Cystobasidiomycetes,2,4,17.4,7.43,0.06
B44,EMM_F66,Cystobasidiomycetes,2,4,24.86,7.57,0.02
B44,EMM_F66,Cystobasidiomycetes,2,4,31.78,7.57,0.19
B44,EMM_F66,Cystobasidiomycetes,2,4,40.63,7.65,0.27
B44,EMM_F66,Cystobasidiomycetes,2,4,47.75,7.67,0.29
